n,p,r,s,Dinic,EK,MPM
1200,0.4,1200,386739059762,,,0.384943
1400,0.4,1400,407223463487,,,0.315633
1600,0.4,1600,703031059536,,,0.549513
1800,0.4,1800,389513201897,,,1.23364
2000,0.4,2000,842863712912,,,2.34163
2200,0.4,2200,723687817476,,,1.58609
2400,0.4,2400,232074300201,,,2.3466
2600,0.4,2600,459492523150,,,1.93264
2800,0.4,2800,137267948351,,,3.62437
3000,0.4,3000,554750833037,,,4.90045
3200,0.4,3200,529010506269,,,8.27628
3400,0.4,3400,208765280903,,,5.10498
3600,0.4,3600,997219507030,,,9.33158
3800,0.4,3800,491696408694,,,9.20082
4000,0.4,4000,878436754512,,,14.2647
4200,0.4,4200,198158081880,,,15.4941
4400,0.4,4400,258311560997,,,14.0008
4600,0.4,4600,335778485254,,,13.5118
4800,0.4,4800,684647975873,,,18.4507
5000,0.4,5000,32786689645,,,28.0739
1000,0.5,1000,324351246992,,,0.332653
1200,0.5,1200,563307259606,,,0.505412
1400,0.5,1400,543546878972,,,0.713468
1600,0.5,1600,996447140195,,,1.16338
1800,0.5,1800,522596530451,,,1.79145
2000,0.5,2000,882723237321,,,3.09783
2200,0.5,2200,521910862863,,,3.69829
2400,0.5,2400,782518717795,,,3.86597
2600,0.5,2600,914404547214,,,4.61318
2800,0.5,2800,123025592813,,,4.36279
3000,0.5,3000,458103813447,,,7.91565
3200,0.5,3200,604314925162,,,7.98004
3400,0.5,3400,403192520655,,,9.8208
3600,0.5,3600,676909290460,,,8.98375
3800,0.5,3800,953329034755,,,10.9854
4000,0.5,4000,851127250989,,,18.7838
4200,0.5,4200,608728108751,,,20.7513
4400,0.5,4400,323755673617,,,20.9929
4600,0.5,4600,578553109272,,,21.6259
4800,0.5,4800,426907744027,,,23.9359
5000,0.5,5000,627388517170,,,23.6958
1000,0.6,1000,100837951995,,,0.645124
1200,0.6,1200,51830216139,,,0.444439
1400,0.6,1400,545264601070,,,0.950409
1600,0.6,1600,359251835040,,,1.11267
1800,0.6,1800,257529379513,,,1.52143
2000,0.6,2000,416172132141,,,2.35255
2200,0.6,2200,12272681822,,,5.27574
2400,0.6,2400,571456987012,,,3.70238
2600,0.6,2600,671423100365,,,4.6128
2800,0.6,2800,301896234658,,,8.95542
3000,0.6,3000,678555114634,,,8.50111
3200,0.6,3200,720880044318,,,8.8543
3400,0.6,3400,219533129197,,,11.8536
3600,0.6,3600,728635701505,,,12.4287
3800,0.6,3800,406874354917,,,20.312
4000,0.6,4000,369804671389,,,15.5302
4200,0.6,4200,340596242274,,,19.8776
4400,0.6,4400,162210031507,,,22.9337
4600,0.6,4600,238872798693,,,29.9458
4800,0.6,4800,392897141343,,,42.4937
5000,0.6,5000,764704223975,,,30.6194
1000,0.7,1000,438818986656,,,0.601875
1200,0.7,1200,535675492633,,,0.875829
1400,0.7,1400,876665572603,,,1.2688
1600,0.7,1600,469961178233,,,1.95082
1800,0.7,1800,992208708024,,,1.8585
2000,0.7,2000,706294296460,,,5.76666
2200,0.7,2200,213867570931,,,4.36985
2400,0.7,2400,98441789695,,,4.76794
2600,0.7,2600,104805567452,,,8.21573
2800,0.7,2800,994210098618,,,8.44131
3000,0.7,3000,857882610585,,,9.11998
3200,0.7,3200,624857375904,,,10.4318
3400,0.7,3400,526499288291,,,15.933
3600,0.7,3600,791371398802,,,15.5323
3800,0.7,3800,618028757081,,,23.4201
4000,0.7,4000,348899768936,,,22.7282
4200,0.7,4200,361667736998,,,23.1415
4400,0.7,4400,113032648846,,,35.855
4600,0.7,4600,565154630045,,,30.4432
4800,0.7,4800,132522930320,,,39.9957
5000,0.7,5000,905487744679,,,43.8811
