n,p,r,s,Dinic,EK,MPM
400,0.8,400,757416581078,,0.403713,
500,0.8,500,166456380703,,0.92844,
600,0.8,600,165648530284,,3.30031,
700,0.8,700,796266756637,,8.90332,
800,0.8,800,376567682732,,13.483,
900,0.8,900,217070688010,,16.7015,
1000,0.8,1000,68271244213,,34.0956,
1100,0.8,1100,208031808658,,40.7172,
1200,0.8,1200,188073011824,,42.4147,
1300,0.8,1300,781264457850,,74.8558,
1400,0.8,1400,831634005843,,100.079,
1500,0.8,1500,703151981488,,93.9926,
400,0.8,400,140495183355,,1.21716,
500,0.8,500,767546932544,,2.89584,
600,0.8,600,988727689997,,5.11208,
700,0.8,700,210560524297,,10.9688,
800,0.8,800,809055952065,,15.5698,
900,0.8,900,996361901510,,18.6087,
1000,0.8,1000,982194877068,,31.7508,
1100,0.8,1100,437582958501,,42.3772,
1200,0.8,1200,268464473452,,46.1739,
1300,0.8,1300,568372837005,,80.6542,
1400,0.8,1400,517460136986,,88.592,
1500,0.8,1500,168347079261,,84.3482,
400,0.8,400,151001116303,,0.209866,
500,0.8,500,828993734746,,1.03016,
600,0.8,600,587351722379,,3.20445,
700,0.8,700,570322997946,,6.90688,
800,0.8,800,491564345474,,12.2585,
900,0.8,900,823469289148,,17.3145,
1000,0.8,1000,667550441543,,30.041,
1100,0.8,1100,231284810749,,40.0537,
1200,0.8,1200,884229312948,,44.1844,
1300,0.8,1300,690898929161,,62.88,
1400,0.8,1400,896388915743,,80.167,
1500,0.8,1500,687822733056,,84.4153,
400,0.9,400,681965658533,,0.404488,
500,0.9,500,266221323079,,1.59197,
600,0.9,600,873485902253,,4.36615,
700,0.9,700,769599083151,,10.2127,
800,0.9,800,786661135202,,18.6197,
900,0.9,900,990286742851,,20.6051,
1000,0.9,1000,455458943676,,38.3194,
1100,0.9,1100,963383605581,,55.5544,
1200,0.9,1200,733818654457,,55.7169,
1300,0.9,1300,905026574450,,92.3059,
1400,0.9,1400,356201944490,,100.016,
1500,0.9,1500,26480530804,,100.011,
400,0.9,400,854893613860,,2.15619,
500,0.9,500,441476104249,,4.01035,
600,0.9,600,717591027391,,6.54164,
700,0.9,700,759196290071,,13.9563,
800,0.9,800,541077350542,,21.5904,
900,0.9,900,876745855201,,25.3273,
1000,0.9,1000,278603297022,,43.4665,
1100,0.9,1100,25979016250,,58.7063,
1200,0.9,1200,7125067951,,60.041,
1300,0.9,1300,903239727719,,88.8267,
1400,0.9,1400,306948168877,,100.001,
1500,0.9,1500,579804922871,,100.037,
400,0.9,400,899811087741,,2.00761,
500,0.9,500,803367123022,,5.61231,
600,0.9,600,398236551730,,7.10895,
700,0.9,700,370223686537,,13.5781,
800,0.9,800,990973067643,,20.9206,
900,0.9,900,258326742299,,29.7258,
1000,0.9,1000,225387223692,,44.3382,
1100,0.9,1100,422624352299,,57.243,
1200,0.9,1200,694191512335,,47.2522,
1300,0.9,1300,439570775703,,88.306,
1400,0.9,1400,308909900170,,100.005,
1500,0.9,1500,251250600346,,100.032,
400,0.9,400,667870748853,,0.44737,
500,0.9,500,270521729528,,1.62582,
600,0.9,600,958651974102,,4.16787,
700,0.9,700,724900269016,,10.0175,
800,0.9,800,324728946533,,16.515,
900,0.9,900,30535520576,,19.943,
1000,0.9,1000,476780406880,,38.2469,
1100,0.9,1100,444966958032,,53.0246,
1200,0.9,1200,532258717461,,51.2744,
1300,0.9,1300,513900737717,,98.0955,
1400,0.9,1400,627512588872,,100.005,
1500,0.9,1500,233427555634,,100.024,
400,0.9,400,394446468464,,0.434727,
500,0.9,500,183318273507,,1.89443,
600,0.9,600,934450933521,,4.50801,
700,0.9,700,344596786378,,10.5291,
800,0.9,800,897207441649,,20.2267,
900,0.9,900,164451001706,,25.4954,
1000,0.9,1000,373489879991,,38.1466,
1100,0.9,1100,516088693935,,54.0325,
1200,0.9,1200,543910591923,,56.7646,
