n_vert,prob,range,seed,Dinic_time,EK_time,MPM_time
950,0.5,1980,26248,0.0285197,3.6454,0.140147
950,0.6,2000,43245,0.0369523,6.48111,0.115674
975,0.1,2020,36245,0.0069221,0.156755,0.0299848
975,0.2,2040,56253,0.0175499,0.93279,0.0470907
975,0.3,2060,25281,0.0252896,0.761097,0.112918
975,0.4,2060,51160,0.110904,5.43,0.209451
975,0.5,2080,21248,0.0160398,3.53361,0.0917507
975,0.6,2100,12545,0.0294239,5.37169,0.138856
1000,0.1,2100,36054,0.0047532,0.0729633,0.0274604
1000,0.2,2120,56852,0.0179326,1.07536,0.0546713
1000,0.3,2140,14281,0.0124177,1.73014,0.0467289
1000,0.4,2140,71470,0.0187936,1.9446,0.0746166
1000,0.5,2180,21448,0.0338898,6.10031,0.11433
1000,0.6,2200,13745,0.0394584,11.6465,0.138215
1000,0.6,2200,13745,0.0559991,11.494,0.158955
1000,0.7,2320,12102,0.0217045,13.2805,0.136326
1000,0.8,2420,19102,0.0531872,21.0159,0.283305
1000,0.9,2520,12202,0.042241,19.5253,0.295186
1100,0.5,2110,11102,0.0596847,10.3029,0.195239
1100,0.6,1990,11442,0.0314795,14.5381,0.165257
1100,0.7,1290,11332,0.0408948,21.6458,0.200536
1100,0.8,2110,11122,0.07673,21.9944,0.376242
1100,0.9,1111,11222,0.046692,64.289,0.376018
1200,0.5,1910,11155,0.29986,13.2798,0.315937
1200,0.6,1810,11488,0.164691,17.5691,0.345936
1200,0.7,1710,11377,0.145481,21.5575,0.473033
1200,0.8,1510,11155,0.0681108,27.255,0.553836
1200,0.9,1651,11211,0.0718409,38.0278,0.686056
1300,0.5,1350,31321,0.144933,15.3074,0.398456
1300,0.6,1400,54321,0.0735139,17.1907,0.325548
1300,0.7,1450,32321,0.0456807,24.8215,0.465644
1300,0.8,1500,21321,0.0700834,41.8098,0.615005
1300,0.9,1550,76321,0.070636,63.3369,0.719813
1400,0.5,1225,44321,0.07209,15.8635,0.308269
1400,0.6,1325,22321,0.284426,159.345,0.692963
1400,0.7,1350,81321,0.0888281,49.5712,0.633591
1400,0.8,1375,11321,0.11327,58.8465,0.76951
